seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9411,c,1,Optimization only,0.0028104671841477804,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,2,One-shot corrected LDP,0.15008950042612662,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,2,Optimization only,0.00025722579902465165,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,4,One-shot corrected LDP,0.13929690561281413,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,4,Optimization only,0.0002576065577433161,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,8,One-shot corrected LDP,0.13928190772635302,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,8,Optimization only,0.0002576065552374245,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,16,One-shot corrected LDP,0.13928190769798082,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,16,Optimization only,0.0002576065552374245,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,32,One-shot corrected LDP,0.13928190769798082,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,c,32,Optimization only,0.0002576065552374245,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9411,b,1,Central DP,0.5509001010223632,l2_error,0.8,5.3843464363939065e-06,
9411,b,1,Optimization only,0.4193970396007473,l2_error,0.8,5.3843464363939065e-06,
9411,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9411,b,2,Central DP,0.5177267932054764,l2_error,0.8,5.3843464363939065e-06,
9411,b,2,Optimization only,0.18083078393689747,l2_error,0.8,5.3843464363939065e-06,
9411,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9411,b,4,Central DP,0.5511149359864664,l2_error,0.8,5.3843464363939065e-06,
9411,b,4,Optimization only,0.0341325637927968,l2_error,0.8,5.3843464363939065e-06,
9411,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9411,b,8,Central DP,0.8518116813498225,l2_error,0.8,5.3843464363939065e-06,
9411,b,8,Optimization only,0.007267849702627135,l2_error,0.8,5.3843464363939065e-06,
9411,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9411,b,16,Central DP,1.0106758602602375,l2_error,0.8,5.3843464363939065e-06,
9411,b,16,Optimization only,0.007361496182020576,l2_error,0.8,5.3843464363939065e-06,
9411,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9411,b,32,Central DP,0.9265175546842321,l2_error,0.8,5.3843464363939065e-06,
9411,b,32,Optimization only,0.00736149265107886,l2_error,0.8,5.3843464363939065e-06,
9411,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9412,c,1,One-shot corrected LDP,0.3092652834807523,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,1,Optimization only,0.0051061918685075605,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,2,One-shot corrected LDP,0.10863168565615958,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,2,Optimization only,0.00016476931174073638,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,4,One-shot corrected LDP,0.10163946887873934,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,4,Optimization only,0.00016026996713651193,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,8,One-shot corrected LDP,0.10262379904092843,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,8,Optimization only,0.00016027281201940746,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,16,One-shot corrected LDP,0.10262418112599105,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,16,Optimization only,0.00016027281201942106,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,32,One-shot corrected LDP,0.10262418112604857,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,c,32,Optimization only,0.00016027281201942106,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9412,b,1,Central DP,0.5913141213949433,l2_error,0.8,5.3843464363939065e-06,
9412,b,1,Optimization only,0.4221323159878198,l2_error,0.8,5.3843464363939065e-06,
9412,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9412,b,2,Central DP,0.5074470101274624,l2_error,0.8,5.3843464363939065e-06,
9412,b,2,Optimization only,0.18377337664487728,l2_error,0.8,5.3843464363939065e-06,
9412,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
