seed,n,p,s_star,epsilon,delta,setting,noise_scale,coef,smoothness,sigma,label_bound,clip_rate,published_sigma,method,multiplier,l2_error,support
6306,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.60715389251709,7.842271706420105,1.615,0.234,24.102237481813713,Wang-Xu Label-LDP-IHT,,1.0799710750579834,5
6306,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.60715389251709,7.842271706420105,1.615,0.234,24.102237481813713,Zero estimator,,0.9999999403953552,0
6306,2000,4000,5,0.95,0.0023381211195565516,gaussian,1.0,decay,5.60715389251709,7.842271706420105,1.615,0.234,24.102237481813713,Label-LDP Lasso (ours),0.75,0.9311881065368652,6
6306,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.646398544311523,7.842271706420105,1.615,0.2695,24.102237481813713,Non-private,,0.1470361053943634,15
6306,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.646398544311523,7.842271706420105,1.615,0.2695,24.102237481813713,Wang-Xu Label-LDP-IHT,,0.9825048446655273,5
6306,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.646398544311523,7.842271706420105,1.615,0.2695,24.102237481813713,Zero estimator,,0.9999999403953552,0
6306,2000,4000,5,0.95,0.0023381211195565516,bounded_uniform,1.0,decay,5.646398544311523,7.842271706420105,1.615,0.2695,24.102237481813713,Label-LDP Lasso (ours),0.75,0.7327834963798523,9
6306,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.722391128540039,7.842271706420105,1.615,0.0345,24.102237481813713,Non-private,,0.1490292102098465,5
6306,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.722391128540039,7.842271706420105,1.615,0.0345,24.102237481813713,Wang-Xu Label-LDP-IHT,,1.0186346769332886,5
6306,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.722391128540039,7.842271706420105,1.615,0.0345,24.102237481813713,Zero estimator,,0.9999999403953552,0
6306,2000,4000,5,0.95,0.0023381211195565516,rademacher,0.05,decay,5.722391128540039,7.842271706420105,1.615,0.0345,24.102237481813713,Label-LDP Lasso (ours),0.75,0.7968177199363708,9
6306,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.649704456329346,8.597906550714795,1.615,0.247,25.52313319351188,Non-private,,0.11855989694595337,13
6306,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.649704456329346,8.597906550714795,1.615,0.247,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.9552711248397827,5
6306,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.649704456329346,8.597906550714795,1.615,0.247,25.52313319351188,Zero estimator,,0.9999999403953552,0
6306,4000,8000,5,0.95,0.0010907720713776194,gaussian,1.0,decay,5.649704456329346,8.597906550714795,1.615,0.247,25.52313319351188,Label-LDP Lasso (ours),0.75,0.742919385433197,18
6306,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.683520317077637,8.597906550714795,1.615,0.26325,25.52313319351188,Non-private,,0.09329947829246521,15
6306,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.683520317077637,8.597906550714795,1.615,0.26325,25.52313319351188,Wang-Xu Label-LDP-IHT,,0.9704262018203735,5
6306,4000,8000,5,0.95,0.0010907720713776194,bounded_uniform,1.0,decay,5.683520317077637,8.597906550714795,1.615,0.26325,25.52313319351188,Zero estimator,,0.9999999403953552,0
