seed,panel,K,method,value,metric,epsilon,delta,sigma_x
9404,c,4,Optimization only,0.00015590843950343548,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,8,One-shot corrected LDP,0.147573277767571,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,8,Optimization only,0.00015590844030370917,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,16,One-shot corrected LDP,0.14757328165886552,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,16,Optimization only,0.00015590844030370917,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,32,One-shot corrected LDP,0.14757328165886552,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,c,32,Optimization only,0.00015590844030370917,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9404,b,1,Central DP,0.5579403584610095,l2_error,0.8,5.3843464363939065e-06,
9404,b,1,Optimization only,0.42174922258038766,l2_error,0.8,5.3843464363939065e-06,
9404,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9404,b,2,Central DP,0.4997102420329905,l2_error,0.8,5.3843464363939065e-06,
9404,b,2,Optimization only,0.18309762246382133,l2_error,0.8,5.3843464363939065e-06,
9404,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9404,b,4,Central DP,0.6874862729792963,l2_error,0.8,5.3843464363939065e-06,
9404,b,4,Optimization only,0.03572375537077808,l2_error,0.8,5.3843464363939065e-06,
9404,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9404,b,8,Central DP,0.7353360537970709,l2_error,0.8,5.3843464363939065e-06,
9404,b,8,Optimization only,0.006824536385057141,l2_error,0.8,5.3843464363939065e-06,
9404,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9404,b,16,Central DP,1.2264373000685902,l2_error,0.8,5.3843464363939065e-06,
9404,b,16,Optimization only,0.00677687603286355,l2_error,0.8,5.3843464363939065e-06,
9404,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9404,b,32,Central DP,1.093534695561287,l2_error,0.8,5.3843464363939065e-06,
9404,b,32,Optimization only,0.006776892594255165,l2_error,0.8,5.3843464363939065e-06,
9404,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9405,c,1,One-shot corrected LDP,0.3127702284883706,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,1,Optimization only,0.002612826232869954,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,2,One-shot corrected LDP,0.25401965315958114,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,2,Optimization only,0.0002193356183691242,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,4,One-shot corrected LDP,0.29413823731975997,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,4,Optimization only,0.00021944787474160418,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,8,One-shot corrected LDP,0.3085643094536447,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,8,Optimization only,0.00021944787530645462,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,16,One-shot corrected LDP,0.3089572567885198,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,16,Optimization only,0.00021944787530645462,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,32,One-shot corrected LDP,0.30895751195330173,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,c,32,Optimization only,0.00021944787530645462,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9405,b,1,Central DP,0.5412091324679275,l2_error,0.8,5.3843464363939065e-06,
9405,b,1,Optimization only,0.4178864474597879,l2_error,0.8,5.3843464363939065e-06,
9405,b,1,Calibrated gradient noise SD,0.001358306507113695,noise_sd,0.8,5.3843464363939065e-06,
9405,b,2,Central DP,0.5765481346096304,l2_error,0.8,5.3843464363939065e-06,
9405,b,2,Optimization only,0.18026155089572599,l2_error,0.8,5.3843464363939065e-06,
9405,b,2,Calibrated gradient noise SD,0.0019712969246501225,noise_sd,0.8,5.3843464363939065e-06,
9405,b,4,Central DP,0.6335973593929699,l2_error,0.8,5.3843464363939065e-06,
9405,b,4,Optimization only,0.03543512513538577,l2_error,0.8,5.3843464363939065e-06,
9405,b,4,Calibrated gradient noise SD,0.0028572819236943516,noise_sd,0.8,5.3843464363939065e-06,
9405,b,8,Central DP,0.7522840113622531,l2_error,0.8,5.3843464363939065e-06,
9405,b,8,Optimization only,0.006929966524609708,l2_error,0.8,5.3843464363939065e-06,
9405,b,8,Calibrated gradient noise SD,0.004136688736821016,noise_sd,0.8,5.3843464363939065e-06,
9405,b,16,Central DP,1.3163978118439044,l2_error,0.8,5.3843464363939065e-06,
9405,b,16,Optimization only,0.00665858813944981,l2_error,0.8,5.3843464363939065e-06,
9405,b,16,Calibrated gradient noise SD,0.005982686257483794,noise_sd,0.8,5.3843464363939065e-06,
9405,b,32,Central DP,1.2015442072912677,l2_error,0.8,5.3843464363939065e-06,
9405,b,32,Optimization only,0.006658151932258434,l2_error,0.8,5.3843464363939065e-06,
9405,b,32,Calibrated gradient noise SD,0.008644152046359108,noise_sd,0.8,5.3843464363939065e-06,
9406,c,1,One-shot corrected LDP,0.22727912836167055,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,1,Optimization only,0.004704495744398429,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,2,One-shot corrected LDP,0.24597500558074376,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
9406,c,2,Optimization only,0.00019068428635323484,l2_error,2.0,5.3843464363939065e-06,8.237830184213996
